Country,Count of volcanoes
United States,184
Russia,169
Indonesia,136
Japan,111
Chile,87
Ethiopia,57
Papua New Guinea,54
Philippines,49
Mexico,41
Iceland,39
Antarctica,35
Ecuador,34
Argentina,34
Pacific Ocean,33
New Zealand,30
El Salvador,22
Guatemala,22
Kenya,22
Canada,21
Tonga,20
Nicaragua,19
Peru,16
China,14
Colombia,14
Italy,14
Vanuatu,14
Portugal,14
Turkey,13
Atlantic Ocean,12
Yemen,11
Bolivia,11
Tanzania,10
Costa Rica,10
Saudi Arabia,10
Indian Ocean,9
Spain,8
Iran,8
Solomon Is.,8
Uganda,7
Taiwan,7
Eritrea,6
Syria,6
Vietnam,6
Madagascar,5
Chad,5
Mongolia,5
Greece,5
France,5
Sudan,5
Cameroon,5
Armenia,5
Netherlands,5
Dominica,5
"Congo, DRC",5
Algeria,4
Honduras,4
Georgia,4
Equatorial Guinea,3
Cape Verde,3
North Korea,3
Myanmar,3
South Korea,2
Afghanistan,2
Comoros,2
French Southern & Antarctic Lands,2
Libya,2
Panama,2
Fiji,2
Arctic Ocean,2
Djibouti,2
Samoa,2
India,2
Montserrat,1
Martinique,1
Germany,1
American Samoa,1
Bouvet I.,1
Jan Mayen,1
United Kingdom,1
South Africa,1
Wallis & Futuna,1
Reunion,1
Guadeloupe,1
Nigeria,1
Trinidad,1
St. Kitts & Nevis,1
Rwanda,1
St. Lucia,1
Heard I. & McDonald Is.,1
St. Vincent & the Grenadines,1
Australia,1
Malaysia,1
Sao Tome & Principe,1
Mali,1
Grenada,1
Grand Total,1571
